SampleID;Temp;COD_in;COD_eff;COD_removal;TAN_in;TAN_eff;TAN_removal;HRT;;;
OD128OT128.77;25.90;NA;NA;NA;NA;NA;NA;2;;;
OD130OT130.4;25.90;1235.00;210.00;0.83;114.66;1.88;0.98;2;;;
OD130OT130.71;26.30;NA;NA;NA;NA;NA;NA;2;;;
OD131OT131.35;26.30;NA;NA;NA;NA;NA;NA;2;;;
OD131OT131.65;26.30;NA;NA;NA;NA;NA;NA;2;;;
OD132OT132.31;26.10;NA;NA;NA;NA;NA;NA;2;;;
OD132OT132.67;26.00;NA;NA;NA;NA;NA;NA;2;;;
OD133OT133.36;25.30;NA;NA;NA;NA;NA;NA;2;;;
OD133OT133.74;25.30;NA;NA;NA;NA;NA;NA;2;;;
OD134OT134.36;25.30;NA;NA;NA;NA;NA;NA;2;;;
OD134OT134.46;25.10;NA;NA;NA;NA;NA;NA;2;;;
OD134OT134.69;24.80;NA;NA;NA;NA;NA;NA;2;;;
OD135OT135.77;24.80;1595.00;317.00;0.80;100.43;0.22;1.00;2;;;
OD135OT135.79;24.80;NA;NA;NA;NA;NA;NA;2;;;
OD137OT137.38;25.40;NA;NA;NA;NA;NA;NA;2;;;
OD137OT137.71;NA;NA;NA;NA;NA;NA;NA;2;;;
OD138OT138.38;24.90;NA;NA;NA;NA;NA;NA;2;;;
OD138OT138.67;24.70;NA;NA;NA;NA;NA;NA;2;;;
OD139OT139.4;24.60;NA;NA;NA;NA;NA;NA;2;;;
OD139OT139.71;24.60;NA;NA;NA;NA;NA;NA;2;;;
OD140OT140.38;24.50;NA;NA;NA;NA;NA;NA;2;;;
OD140OT140.71;24.70;NA;NA;NA;NA;NA;NA;2;;;
OD141OT141.38;25.20;NA;NA;NA;NA;NA;NA;2;;;
OD141OT141.71;25.20;NA;NA;NA;NA;NA;NA;2;;;
OD142OT142.77;25.00;NA;NA;NA;NA;NA;NA;2;;;
OD142OT142.79;25.00;NA;NA;NA;NA;NA;NA;2;;;
OD143OT143.77;25.00;1245.00;280.00;0.78;91.16;0.29;1.00;2;;;
OD143OT143.79;25.00;NA;NA;NA;NA;NA;NA;2;;;
OD144OT144.35;24.30;NA;NA;NA;NA;NA;NA;2;;;
OD144OT144.67;24.10;NA;NA;NA;NA;NA;NA;2;;;
OD145OT145.4;24.50;1525.00;291.50;0.81;98.11;0.38;1.00;2;;;
OD145OT145.75;24.60;NA;NA;NA;NA;NA;NA;2;;;
OD146OT146.38;25.10;NA;NA;NA;NA;NA;NA;2;;;
OD146OT146.69;25.20;NA;NA;NA;NA;NA;NA;2;;;
OD147OT147.29;25.40;NA;NA;NA;NA;NA;NA;2;;;
OD147OT147.75;25.40;NA;NA;NA;NA;NA;NA;2;;;
OD148OT148.4;25.50;NA;NA;NA;NA;NA;NA;2;;;
OD148OT148.71;25.60;NA;NA;NA;NA;NA;NA;2;;;
